city_name,DOY,risk_type,window_days,probability
Dera Ghazi Khan,1,frost,15,0.037
Dera Ghazi Khan,1,heat_stress,15,0.0
Dera Ghazi Khan,1,heavy_rain,15,0.0
Dera Ghazi Khan,1,frost,30,0.0741
Dera Ghazi Khan,1,heat_stress,30,0.0
Dera Ghazi Khan,1,heavy_rain,30,0.0
Dera Ghazi Khan,1,frost,45,0.0741
Dera Ghazi Khan,1,heat_stress,45,0.0
Dera Ghazi Khan,1,heavy_rain,45,0.0
Dera Ghazi Khan,1,frost,60,0.0741
Dera Ghazi Khan,1,heat_stress,60,0.0
Dera Ghazi Khan,1,heavy_rain,60,0.0
Dera Ghazi Khan,1,frost,90,0.0741
Dera Ghazi Khan,1,heat_stress,90,0.2593
Dera Ghazi Khan,1,heavy_rain,90,0.0
Dera Ghazi Khan,2,frost,15,0.04
Dera Ghazi Khan,2,heat_stress,15,0.0
Dera Ghazi Khan,2,heavy_rain,15,0.0
Dera Ghazi Khan,2,frost,30,0.08
Dera Ghazi Khan,2,heat_stress,30,0.0
Dera Ghazi Khan,2,heavy_rain,30,0.0
Dera Ghazi Khan,2,frost,45,0.08
Dera Ghazi Khan,2,heat_stress,45,0.0
Dera Ghazi Khan,2,heavy_rain,45,0.0
Dera Ghazi Khan,2,frost,60,0.08
Dera Ghazi Khan,2,heat_stress,60,0.0
Dera Ghazi Khan,2,heavy_rain,60,0.0
Dera Ghazi Khan,2,frost,90,0.08
Dera Ghazi Khan,2,heat_stress,90,0.28
Dera Ghazi Khan,2,heavy_rain,90,0.0
Dera Ghazi Khan,3,frost,15,0.04
Dera Ghazi Khan,3,heat_stress,15,0.0
Dera Ghazi Khan,3,heavy_rain,15,0.0
Dera Ghazi Khan,3,frost,30,0.08
Dera Ghazi Khan,3,heat_stress,30,0.0
Dera Ghazi Khan,3,heavy_rain,30,0.0
Dera Ghazi Khan,3,frost,45,0.08
Dera Ghazi Khan,3,heat_stress,45,0.0
Dera Ghazi Khan,3,heavy_rain,45,0.0
Dera Ghazi Khan,3,frost,60,0.08
Dera Ghazi Khan,3,heat_stress,60,0.0
Dera Ghazi Khan,3,heavy_rain,60,0.0
Dera Ghazi Khan,3,frost,90,0.08
Dera Ghazi Khan,3,heat_stress,90,0.28
Dera Ghazi Khan,3,heavy_rain,90,0.0
Dera Ghazi Khan,4,frost,15,0.04
Dera Ghazi Khan,4,heat_stress,15,0.0
Dera Ghazi Khan,4,heavy_rain,15,0.0
Dera Ghazi Khan,4,frost,30,0.08
Dera Ghazi Khan,4,heat_stress,30,0.0
Dera Ghazi Khan,4,heavy_rain,30,0.0
Dera Ghazi Khan,4,frost,45,0.08
Dera Ghazi Khan,4,heat_stress,45,0.0
Dera Ghazi Khan,4,heavy_rain,45,0.0
Dera Ghazi Khan,4,frost,60,0.08
Dera Ghazi Khan,4,heat_stress,60,0.0
Dera Ghazi Khan,4,heavy_rain,60,0.0
Dera Ghazi Khan,4,frost,90,0.08
Dera Ghazi Khan,4,heat_stress,90,0.28
